"id";"normalised";"hiscocat";"hiscocatname";"hiscocatdesc"
"215";"koek- en banketbakkers en confituriers";"https://iisg.amsterdam/resource/hisco/code/hisco/77610";"Baker, General";"Makes bread, cake, biscuits, pastries, pies and other flour products."
"216";"koffermakers";"https://iisg.amsterdam/resource/hisco/code/hisco/80310";"Leather Goods Maker, General";"Makes, by hand and machine, a variety of products consisting mainly of real or artificial leather, such as handbags, wallets, luggage, brief cases, belting, footballs and leather novelties."
"217";"koffie (commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking"
"218";"koffie (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"219";"koffiebranders en maalders";"https://iisg.amsterdam/resource/hisco/code/hisco/77750";"Coffee Roaster";"Roasts blended coffee beans or chicory roots in heated revolving cylinders."
"220";"koffiehuishouders";"https://iisg.amsterdam/resource/hisco/code/hisco/51050";"Working Proprietor (Café, Bar and Snack Bar)";"Operates a café, bar or snack bar on own account or in partnership, to sell food or alcoholic and other beverages to customers."
"221";"koffiesiroopfabrikant";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"222";"koffieverlezers";"https://iisg.amsterdam/resource/hisco/code/hisco/77790";"Other Tea, Coffee and Cocoa Preparers";"This group includes tea, coffee and cocoa preparers not elsewhere classified, for example those who break outer coverings of cocoa beans and crush them into nibs; or grind cocoa and coffee."
"223";"koks";"https://iisg.amsterdam/resource/hisco/code/hisco/53100";"Cook, Specialisation Unknown";"May perform any (but not all) of the occupational activities described in 5-31.20 to 5-31.90."
"224";"koloniale waren, comestibles enz. (handelaars in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"225";"komeneischwaren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"226";"koper, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"227";"kopergieters";"https://iisg.amsterdam/resource/hisco/code/hisco/72420";"Metal Pourer";"Pours molten metal from ladle into moulds to produce metal castings."
"228";"koper- en blikslagers";"https://iisg.amsterdam/resource/hisco/code/hisco/87330";"Coppersmith";"Makes, installs and repairs articles in copper and light alloys, such as containers, ducts, cowlings and pipes."
"229";"koralen, enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"230";"korenfactors";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"231";"korenwegers en meters";"https://iisg.amsterdam/resource/hisco/code/hisco/39150";"Weighing Clerk";"Weighs goods received, issued, produced or dispatched and maintains relevant clerical records."
"232";"kousen, enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"233";"kruiers";"https://iisg.amsterdam/resource/hisco/code/hisco/97190";"Other Dockers and Freight Handlers";"This group includes dockers and freight handers not elsewhere classified, for example those who carry hand baggage at railway stations, airports and piers; pack and load furniture and other household effects into vans and carry these items from vans into living quarters."
"234";"kuipers";"https://iisg.amsterdam/resource/hisco/code/hisco/81930";"Cooper";"Makes or repairs wooden casks for holding wet or dry goods, using hand or power tools."
"235";"kunstkoopers";"https://iisg.amsterdam/resource/hisco/code/hisco/42220";"Buyer";"Buys goods for resale in wholesale and retail trade."
"236";"kunstlakkers";"https://iisg.amsterdam/resource/hisco/code/hisco/81950";"Veneer Applier";"Faces parts of wooden furniture with veneer."
"237";"kunstschilders";"https://iisg.amsterdam/resource/hisco/code/hisco/16130";"Painter, Artist";"Creates pictures, abstract designs and similar artistic compositions employing various media and techniques."
"238";"kunsttanden en gebitten (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"239";"kurk (kooplieden in) en kurkensnijders";"https://iisg.amsterdam/resource/hisco/code/hisco/73290";"Other Sawyer, Plywood Makers and Related Wood-Processing Workers";"This group includes sawyers, plywood makers and related wood-processing workers not elsewhere classified, for example those who are mainly occupied in peeling bark from logs preparatory to sawing or veneer-cutting; operating power saws to cut logs into specified barrel stave lengths; operating banks of circular saws to cut out defective sections of boards (trimming); or operating edge-gluing machines to join veneer strips into sheets."
"240";"lakens en stoffen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"241";"lak- en vernisstokers";"https://iisg.amsterdam/resource/hisco/code/hisco/74220";"Cooker (Chemical and Related Processes)";"Cooks materials such as bones, fats, molasses, oils, salts, acids and alkalis in open vats, boiling pans, kettles or similar containers to purify, mix or compound them, give them a special property or effect a chemical change in them."
"242";"lampen en verlichtingsartikelen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"243";"landbouwwerktuigen (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"244";"landmeters";"https://iisg.amsterdam/resource/hisco/code/hisco/39150";"Weighing Clerk";"Weighs goods received, issued, produced or dispatched and maintains relevant clerical records."
"245";"leder, drijfriemen, huiden, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"246";"leesbibliotheken";"https://iisg.amsterdam/resource/hisco/code/hisco/19120";"Librarian";"Organises develops and maintains systematic collections of books, periodicals and other recorded material and makes them available to library user."
"247";"lettergieters";"https://iisg.amsterdam/resource/hisco/code/hisco/72420";"Metal Pourer";"Pours molten metal from ladle into moulds to produce metal castings."
"248";"levensmiddelen en scheepsprovisiën (in verduurzaamde)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"249";"levensverzekeringen";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"250";"lichtdrukinrichtingen";"https://iisg.amsterdam/resource/hisco/code/hisco/92155";"Photo-Type-Setting Machine Operator";"Operates keyboard of machine which reproduces letters on film or sensitised paper for eventual reproduction on printing plates."
"251";"likdoornsnijders";"https://iisg.amsterdam/resource/hisco/code/hisco/57050";"Manicurist";"Cleans, shapes and polishes finger and toe nails."
"252";"likeurstokers";"https://iisg.amsterdam/resource/hisco/code/hisco/77890";"Other Brewers, Wine and Beverage Makers";"This group includes brewers, wine and beverage makers not elsewhere classified, for example those who add hops and sugar to malt and water mash and cook them; blend wines and distilled liquors; rack and mature wines; clarify wines by turning bottles periodically or by chemical action; treat wine to make champagne; or make non-alcoholic beverages."
"253";"lingeries (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"254";"linieerders";"https://iisg.amsterdam/resource/hisco/code/hisco/92290";"Other Printing Pressmen";"This group includes other printing pressmen not elsewhere classified, for example those who assist printing machine operators to prepare, feed, tend and clean presses."
"255";"linnen, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"256";"lithografen";"https://iisg.amsterdam/resource/hisco/code/hisco/92415";"Lithographer";"Prepares lithographic stones by coating them and cutting away surface film according to design."
"257";"logementhouders";"https://iisg.amsterdam/resource/hisco/code/hisco/51040";"Working Proprietor (Guest House)";"Operates a guest house on own account or in partnership, to provide temporary or permanent accommodation for guests."
"258";"lompen enz. (kooplieden in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"259";"loodgieters, zinkwerkers en aanleggers van gas- en waterleidingen";"https://iisg.amsterdam/resource/hisco/code/hisco/87105";"Plumber, General";"Assembles, installs and maintains pipes, fittings and fixtures of drainage, heating, water supply and sanitary systems."
"260";"loodgieters (plat-)";"https://iisg.amsterdam/resource/hisco/code/hisco/87105";"Plumber, General";"Assembles, installs and maintains pipes, fittings and fixtures of drainage, heating, water supply and sanitary systems."
"261";"lucifers (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"262";"magnetiseur";"https://iisg.amsterdam/resource/hisco/code/hisco/14920";"Faith Healer";"Endeavours to cure human mental and physical ailments by power of faith."
"263";"makelaars";"https://iisg.amsterdam/resource/hisco/code/hisco/44130";"Estate Agent";"Sells and leases property, such as building lots, houses, apartments and estates, on a commission basis."
"264";"makelaars in ansjovis";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"265";"makelaars in assurantiën";"https://iisg.amsterdam/resource/hisco/code/hisco/44120";"Insurance Salesman";"Sells life, accident, endowment, fire, marine and other types of insurance."
"266";"makelaars in cacao";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"267";"makelaars in diamanten, paarlen en edelgesteenten";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"268";"makelaars in drogerijen en verfwaren";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"269";"makelaars in drogerijen en fijne houtwaren";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"270";"makelaars in effecten";"https://iisg.amsterdam/resource/hisco/code/hisco/44140";"Stock Broker";"Buys or sells stocks and bonds of public or private organisations for customers on a commission basis."
"271";"makelaars in goud, zilver enz";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"272";"makelaars in granen, meel enz";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"273";"makelaars in honig en was";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"274";"makelaars in houtwaren";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"275";"makelaars in huiden en leder";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"276";"makelaars in katoen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"277";"makelaars in kinabast";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"278";"makelaars in koffie";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"279";"makelaars in machinerieën";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"280";"makelaars in manufacturen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"281";"makelaars in metalen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"282";"makelaars in oliën en vetwaren";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"283";"makelaars in oliezaden en oliën";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"284";"makelaars in paarden en rijtuigen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"285";"makelaars in petroleum";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"286";"makelaars in roerende en onroerende goederen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"287";"makelaars in schepen";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"288";"makelaars in specerijen, rijst en kruidenierswaren";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"289";"makelaars in suiker";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"290";"makelaars in tabak";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"291";"makelaars in thee";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"292";"makelaars in verfwaren, lood enz";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"293";"makelaars in vetwaren";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"294";"makelaars in visch";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"295";"makelaars in wijnen en sterke dranken";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"296";"makelaars in fijne zaden en peulvruchten";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"297";"makelaars voor de zeevaart";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"298";"mandenmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/94220";"Basket Maker";"Makes baskets and other basketry articles by interlacing osier, willow, rattan and similar materials by hand."
"299";"manicure";"https://iisg.amsterdam/resource/hisco/code/hisco/57050";"Manicurist";"Cleans, shapes and polishes finger and toe nails."
"300";"mantels (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"301";"manufacturen (in) agenten";"https://iisg.amsterdam/resource/hisco/code/hisco/43230";"Manufacturers' Agent";"Sells products of one or more home or foreign manufacturers to wholesale and retail establishments on a commission basis, in an allotted geographical area. Performs essentially the same duties as a Commercial Traveller (4-32.20) but usually represents several manufacturers of related products."
"302";"manufacturen (in) commissionairs";"https://iisg.amsterdam/resource/hisco/code/hisco/42230";"Purchasing Agent";"Buys machinery, equipment, raw materials, services and other supplies for use or consumption by a manufacturing, commercial, government agency or other undertaking."
"303";"manufacturen (kooplieden en winkeliers in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"304";"marmer, schoorsteenmantels enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"305";"massage- en heilgymnastiekartikelen (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"306";"masseurs";"https://iisg.amsterdam/resource/hisco/code/hisco/07640";"Masseur";"Massages clients or patients to improve circulation, soothe or stimulate nerves, facilitate elimination of waste matter, stretch contracted tendons and produce other therapeutic effects."
"307";"masten-, blok- en pompmakers";"https://iisg.amsterdam/resource/hisco/code/hisco/95455";"Ship's Carpenter";"Repairs and builds woodwork on board ship as member of crew."
"308";"matten, kleeden, vloerzeilen, enz. (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"309";"matten, zakken, enz. (in moscovische pak-)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"310";"meel- en broodfabrikanten";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"311";"melk (handelaars in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"312";"messenfabrikanten en slijpers";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"313";"mest en tuinspeciën (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"314";"metaalwaren (fabrikanten van)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
"315";"metalen (kooplieden en commissionairs in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41020";"Working Proprietor (Wholesale Trade)";"Conducts a business in wholesale trade on own behalf or in partnership, buying goods and selling them to retailers and to industrial, commercial or other large consumers."
"316";"metalen (in edele)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"317";"metselaars";"https://iisg.amsterdam/resource/hisco/code/hisco/95120";"Bricklayer (Construction)";"Lays bricks, hollow tiles and similar building blocks (except stone) to construct walls, partitions, arches, interior fireplaces and chimneys, and other structures."
"318";"meubelmakers en winkeliers";"https://iisg.amsterdam/resource/hisco/code/hisco/81120";"Cabinetmaker";"Makes completely and repairs wooden articles, such as cabinets and furniture, using woodworking machines and hand tools."
"319";"meubelmakers-fournituren (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"320";"meubelstoffen (in gordijn- en)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"321";"mineraal-en medicinaalwater (in)";"https://iisg.amsterdam/resource/hisco/code/hisco/41025";"Working Proprietor (Wholesale or Retail Trade)";"Conducts a business either in wholesale trade (4-10.20) or in retail trade (4-10.30)."
"322";"mineraalwater (fabrikanten van kunst-)";"https://iisg.amsterdam/resource/hisco/code/hisco/21110";"General Manager";"Plans, organises, directs and controls, on proprietors' or on own behalf, an industrial, commercial or other undertaking, establishment or organisation, and coordinates the work of departmental managers or other immediate subordinates. Where the simple, undefined term >Manufacturer= occurs it can be coded to either 2-11.10 or 9-99.99. Where the title indicates a manufacturer of something (e.g. >Fabricant de papier=) it can be coded to either 2-11.10 or the relevant production code in Major Groups 7, 8 or 9 (i.e. in the case of >Fabricant de papier=, 7-34.00). Examples of the latter product-defining titles are not given below but are listed in the alphabetical language-based coding index."
